Дата;Значение
15.02.2020;9 889,42
14.02.2020;10 312,12
13.02.2020;10 214,38
12.02.2020;10 326,05
11.02.2020;10 208,24
10.02.2020;9 856,61
09.02.2020;10 116,67
08.02.2020;9 865,12
07.02.2020;9 795,94
06.02.2020;9 729,80
05.02.2020;9 613,42
04.02.2020;9 180,96
03.02.2020;9 293,52
02.02.2020;9 344,37
01.02.2020;9 392,88
31.01.2020;9 350,53
30.01.2020;9 508,99
29.01.2020;9 316,63
28.01.2020;9 358,59
27.01.2020;8 909,82
26.01.2020;8 596,83
25.01.2020;8 367,85
24.01.2020;8 445,43
23.01.2020;8 406,52
22.01.2020;8 680,88
21.01.2020;8 745,89
20.01.2020;8 657,64
19.01.2020;8 706,25
18.01.2020;8 942,81
17.01.2020;8 929,04
16.01.2020;8 723,79
15.01.2020;8 807,01
14.01.2020;8 827,76
13.01.2020;8 144,19
12.01.2020;8 192,49
11.01.2020;8 037,54
10.01.2020;8 166,55
09.01.2020;7 879,07
08.01.2020;8 079,86
07.01.2020;8 163,69
06.01.2020;7 769,22
05.01.2020;7 411,32
04.01.2020;7 410,66
03.01.2020;7 344,88
02.01.2020;6 985,47
01.01.2020;7 200,17
31.12.2019;7 193,60
30.12.2019;7 293,00
29.12.2019;7 422,65
28.12.2019;7 317,99
27.12.2019;7 290,09
26.12.2019;7 238,97
25.12.2019;7 275,16
24.12.2019;7 322,53
23.12.2019;7 355,63
22.12.2019;7 511,59
21.12.2019;7 191,16
20.12.2019;7 218,82
19.12.2019;7 202,84
18.12.2019;7 276,80
17.12.2019;6 640,52
16.12.2019;6 932,48
15.12.2019;7 152,30
14.12.2019;7 124,67
13.12.2019;7 269,68
12.12.2019;7 243,13
11.12.2019;7 217,43
10.12.2019;7 278,12
09.12.2019;7 400,90
08.12.2019;7 564,35
07.12.2019;7 556,24
06.12.2019;7 547,00
05.12.2019;7 448,31
04.12.2019;7 453,35
03.12.2019;7 344,96
02.12.2019;7 317,27
01.12.2019;7 389,94
30.11.2019;7 528,23
29.11.2019;7 770,53
28.11.2019;7 654,18
27.11.2019;7 581,03
26.11.2019;7 190,52
25.11.2019;7 159,18
24.11.2019;7 090,01
23.11.2019;7 341,92
22.11.2019;7 366,07
21.11.2019;7 610,88
20.11.2019;8 048,12
19.11.2019;8 187,70
18.11.2019;8 284,09
17.11.2019;8 695,20
16.11.2019;8 533,65
15.11.2019;8 500,72
14.11.2019;8 708,99
13.11.2019;8 806,76
12.11.2019;8 777,96
11.11.2019;8 765,44
10.11.2019;9 052,40
09.11.2019;8 818,96
08.11.2019;8 842,05
07.11.2019;9 242,67
06.11.2019;9 360,88
05.11.2019;9 342,53
04.11.2019;9 412,61
03.11.2019;9 235,35
02.11.2019;9 324,72
01.11.2019;9 261,10
31.10.2019;9 199,58
30.10.2019;9 205,73
29.10.2019;9 427,69
28.10.2019;9 256,15
27.10.2019;9 551,71
26.10.2019;9 244,97
25.10.2019;8 660,70
24.10.2019;7 493,49
23.10.2019;7 514,67
22.10.2019;8 078,20
21.10.2019;8 243,72
20.10.2019;8 222,08
19.10.2019;7 988,56
18.10.2019;7 973,21
17.10.2019;8 103,91
16.10.2019;8 047,53
15.10.2019;8 205,37
14.10.2019;8 374,69
13.10.2019;8 321,01
12.10.2019;8 336,56
11.10.2019;8 321,76
10.10.2019;8 586,47
09.10.2019;8 595,74
08.10.2019;8 228,78
07.10.2019;8 245,62
06.10.2019;7 988,16
05.10.2019;8 151,50
04.10.2019;8 205,94
03.10.2019;8 259,99
02.10.2019;8 393,04
01.10.2019;8 343,28
30.09.2019;8 293,87
29.09.2019;8 104,19
28.09.2019;8 245,92
27.09.2019;8 251,85
26.09.2019;8 118,97
25.09.2019;8 486,99
24.09.2019;9 747,47
23.09.2019;9 857,38
22.09.2019;10 070,39
21.09.2019;10 019,72
20.09.2019;10 181,64
19.09.2019;10 266,41
18.09.2019;10 198,25
17.09.2019;10 241,27
16.09.2019;10 276,79
15.09.2019;10 347,71
14.09.2019;10 358,05
13.09.2019;10 360,55
12.09.2019;10 410,13
11.09.2019;10 178,37
10.09.2019;10 115,98
09.09.2019;10 334,97
08.09.2019;10 441,28
07.09.2019;10 517,25
06.09.2019;10 353,30
05.09.2019;10 575,53
04.09.2019;10 594,49
03.09.2019;10 623,54
02.09.2019;10 346,76
01.09.2019;9 757,97
31.08.2019;9 630,66
30.08.2019;9 598,17
